Full Name,Filler Name,Short Name,Districts,Type
ulica Gorzykowska,ulicy Gorzykowskiej,ul. Gorzykowska,Targówek,ulica
ulica Gospodarcza,ulicy Gospodarczej,ul. Gospodarcza,Wawer,ulica
ulica Gostyńska,ulicy Gostyńskiej,ul. Gostyńska,Wola,ulica
ulica Seweryna Goszczyńskiego,ulicy Seweryna Goszczyńskiego,ul. S. Goszczyńskiego,Mokotów,ulica
ulica Gościeradowska,ulicy Gościeradowskiej,ul. Gościeradowska,Targówek,ulica
ulica Gościniec,ulicy Gościniec,ul. Gościniec,Mokotów,ulica
ulica Gościniec,ulicy Gościniec,ul. Gościniec,Wesoła,ulica
ulica Gościnna,ulicy Gościnnej,ul. Gościnna,Białołęka,ulica
ulica Gotarda,ulicy Gotarda,ul. Gotarda,Mokotów,ulica
ulica Gotycka,ulicy Gotyckiej,ul. Gotycka,Bielany,ulica
ulica Goworka,ulicy Goworka,ul. Goworka,Mokotów,ulica
ulica Goworowska,ulicy Goworowskiej,ul. Goworowska,Targówek,ulica
ulica Gozdawitów,ulicy Gozdawitów,ul. Gozdawitów,Białołęka,ulica
ulica Goździków,ulicy Goździków,ul. Goździków,Wawer,ulica
ulica Góralska,ulicy Góralskiej,ul. Góralska,Wola,ulica
ulica Górczewska,ulicy Górczewskiej,ul. Górczewska,"Bemowo, Wola",ulica
ulica Górna,ulicy Górnej,ul. Górna,Rembertów,ulica
ulica Górna,ulicy Górnej,ul. Górna,Wesoła,ulica
ulica Górna Droga,ulicy Górna Droga,ul. Górna Droga,Ursus,ulica
ulica Łukasza Górnickiego,ulicy Łukasza Górnickiego,ul. Ł. Górnickiego,Ochota,ulica
ulica Górnośląska,ulicy Górnośląskiej,ul. Górnośląska,Śródmieście,ulica
ulica Górska,ulicy Górskiej,ul. Górska,Mokotów,ulica
ulica Wojciecha Górskiego,ulicy Wojciecha Górskiego,ul. W. Górskiego,Śródmieście,ulica
ulica Grabalówki,ulicy Grabalówki,ul. Grabalówki,Wilanów,ulica
ulica Grabiny,ulicy Grabiny,ul. Grabiny,Wesoła,ulica
ulica Grabowa,ulicy Grabowej,ul. Grabowa,Mokotów,ulica
ulica Grabowska,ulicy Grabowskiej,ul. Grabowska,Wola,ulica
ulica Antoniego Grabowskiego,ulicy Antoniego Grabowskiego,ul. A. Grabowskiego,Śródmieście,ulica
ulica Władysława Jana Grabskiego,ulicy Władysława Jana Grabskiego,ul. W. J. Grabskiego,Ursus,ulica
ulica Grafitowa,ulicy Grafitowej,ul. Grafitowa,Wesoła,ulica
ulica Grajewska,ulicy Grajewskiej,ul. Grajewska,Praga-Północ,ulica
ulica Graniczna,ulicy Granicznej,ul. Graniczna,Śródmieście,ulica
ulica Graniczna,ulicy Granicznej,ul. Graniczna,Wesoła,ulica
ulica Granitowa,ulicy Granitowej,ul. Granitowa,Mokotów,ulica
ulica Granitowa,ulicy Granitowej,ul. Granitowa,Wesoła,ulica
ulica Granowska,ulicy Granowskiej,ul. Granowska,Bielany,ulica
Rondo Kazimierza Granzowa,Ronda Kazimierza Granzowa,Rondo K. Granzowa,Rembertów,Rondo
ulica Gratyny,ulicy Gratyny,ul. Gratyny,Wilanów,ulica
ulica Grawerska,ulicy Grawerskiej,ul. Grawerska,Rembertów,ulica
ulica Grażyny,ulicy Grażyny,ul. Grażyny,Mokotów,ulica
ulica Grecka,ulicy Greckiej,ul. Grecka,Praga-Południe,ulica
ulica Grenadierów,ulicy Grenadierów,ul. Grenadierów,Praga-Południe,ulica
ulica Grenady,ulicy Grenady,ul. Grenady,Wola,ulica
ulica Grębałowska,ulicy Grębałowskiej,ul. Grębałowska,Bielany,ulica
ulica Gręplarska,ulicy Gręplarskiej,ul. Gręplarska,Wawer,ulica
ulica Grobelska,ulicy Grobelskiej,ul. Grobelska,Targówek,ulica
ulica Grocholicka,ulicy Grocholickiej,ul. Grocholicka,Ursus,ulica
ulica Stanisława Grochowiaka,ulicy Stanisława Grochowiaka,ul. S. Grochowiaka,Bielany,ulica
ulica Grochowska,ulicy Grochowskiej,ul. Grochowska,Praga-Południe,ulica
ulica Kazimierza Grodeckiego,ulicy Kazimierza Grodeckiego,ul. K. Grodeckiego,Bielany,ulica
ulica Grodkowska,ulicy Grodkowskiej,ul. Grodkowska,Bemowo,ulica
ulica Grodzieńska,ulicy Grodzieńskiej,ul. Grodzieńska,Praga-Północ,ulica
ulica Grodziska,ulicy Grodziskiej,ul. Grodziska,Wola,ulica
ulica Grodzka,ulicy Grodzkiej,ul. Grodzka,Śródmieście,ulica
ulica Franciszka Groëra,ulicy Franciszka Groëra,ul. F. Groëra,Targówek,ulica
ulica Gromowładna,ulicy Gromowładnej,ul. Gromowładna,Ursynów,ulica
ulica Gronowa,ulicy Gronowej,ul. Gronowa,Wilanów,ulica
ulica Janusza Groszkowskiego,ulicy Janusza Groszkowskiego,ul. J. Groszkowskiego,Praga-Północ,ulica
ulica Groszowicka,ulicy Groszowickiej,ul. Groszowicka,Praga-Południe,ulica
Most gen. Stefana Grota-Roweckiego,Mostu gen. Stefana Grota-Roweckiego,Most gen. S. Grota-Roweckiego,"Białołęka, Bielany, Praga-Północ, Żoliborz",Most
ulica Groteski,ulicy Groteski,ul. Groteski,Bielany,ulica
ulica Grotowska,ulicy Grotowskiej,ul. Grotowska,Bemowo,ulica
ulica Artura Grottgera,ulicy Artura Grottgera,ul. A. Grottgera,Mokotów,ulica
ulica Grójecka,ulicy Grójeckiej,ul. Grójecka,Ochota,ulica
ulica Gruchacza,ulicy Gruchacza,ul. Gruchacza,Ursynów,ulica
ulica 27 Grudnia,ulicy 27 Grudnia,ul. 27 Grudnia,Wawer,ulica
ulica Grudowska,ulicy Grudowskiej,ul. Grudowska,Białołęka,ulica
ulica Gruntowa,ulicy Gruntowej,ul. Gruntowa,Wawer,ulica
Plac Grunwaldzki,Placu Grunwaldzkiego,pl. Grunwaldzki,Żoliborz,Plac
ulica Grupy AK „Kampinos”,ulicy Grupy AK „Kampinos”,ul. Grupy AK „Kampinos”,Mokotów,ulica
ulica Grupy AK „Krybar”,ulicy Grupy AK „Krybar”,ul. Grupy AK „Krybar”,Mokotów,ulica
ulica Grupy AK „Północ”,ulicy Grupy AK „Północ”,ul. Grupy AK „Północ”,Mokotów,ulica
ulica Piotra Gruszczyńskiego,ulicy Piotra Gruszczyńskiego,ul. P. Gruszczyńskiego,Mokotów,ulica
ulica Gruszy,ulicy Gruszy,ul. Gruszy,Wawer,ulica
ulica Gruzińska,ulicy Gruzińskiej,ul. Gruzińska,Praga-Południe,ulica
ulica Gryczana,ulicy Gryczanej,ul. Gryczana,Włochy,ulica
Aleja Mieczysława Grydzewskiego,Alei Mieczysława Grydzewskiego,al. M. Grydzewskiego,Śródmieście,Aleja parkowa
ulica Gryfitów,ulicy Gryfitów,ul. Gryfitów,Białołęka,ulica
ulica Marii Grzegorzewskiej,ulicy Marii Grzegorzewskiej,ul. M. Grzegorzewskiej,Ursynów,ulica
ulica Stanisława Grzesiuka,ulicy Stanisława Grzesiuka,ul. S. Grzesiuka,Mokotów,ulica
ulica Szczepana Grzeszczyka,ulicy Szczepana Grzeszczyka,ul. Sz. Grzeszczyka,Ochota,ulica
ulica Grzybowa,ulicy Grzybowej,ul. Grzybowa,Rembertów,ulica
ulica Grzybowa,ulicy Grzybowej,ul. Grzybowa,Wesoła,ulica
ulica Grzybowska,ulicy Grzybowskiej,ul. Grzybowska,"Śródmieście, Wola",ulica
Plac Grzybowski,Placu Grzybowskiego,pl. Grzybowski,Śródmieście,Plac
ulica Grzymalitów,ulicy Grzymalitów,ul. Grzymalitów,Białołęka,ulica
Bulwar Bohdana Grzymały-Siedleckiego,Bulwaru Bohdana Grzymały-Siedleckiego,Bulwar B. Grzymały-Siedleckiego,Śródmieście,Bulwar
ulica Grzywaczy,ulicy Grzywaczy,ul. Grzywaczy,Ursynów,ulica
ulica Gubinowska,ulicy Gubinowskiej,ul. Gubinowska,Wilanów,ulica
ulica Konrada Guderskiego,ulicy Konrada Guderskiego,ul. K. Guderskiego,Praga-Południe,ulica
Plac Ireneusza Gugulskiego,Placu Ireneusza Gugulskiego,pl. I. Gugulskiego,Mokotów,Plac
ulica Guliwera,ulicy Guliwera,ul. Guliwera,Targówek,ulica
ulica Gułowska,ulicy Gułowskiej,ul. Gułowska,Wawer,ulica
ulica Guńki,ulicy Guńki,ul. Guńki,Białołęka,ulica
ulica Gustawa,ulicy Gustawa,ul. Gustawa,Targówek,ulica
ulica Romualda Gutta,ulicy Romualda Gutta,ul. R. Gutta,Ursynów,ulica
ulica Guźca,ulicy Guźca,ul. Guźca,Ursynów,ulica
Plac Gwardii,Placu Gwardii,pl. Gwardii,Żoliborz,Plac
ulica Gwardii,ulicy Gwardii,ul. Gwardii,Żoliborz,ulica
ulica Gwarków,ulicy Gwarków,ul. Gwarków,"Rembertów, Targówek",ulica
ulica Gwarna,ulicy Gwarnej,ul. Gwarna,Wilanów,ulica
ulica Gwiazda,ulicy Gwiazda,ul. Gwiazda,Wilanów,ulica
ulica Gwiaździsta,ulicy Gwiaździstej,ul. Gwiaździsta,"Bielany, Żoliborz",ulica
ulica Gwintowa,ulicy Gwintowej,ul. Gwintowa,Mokotów,ulica
ulica Gżegżółki,ulicy Gżegżółki,ul. Gżegżółki,Ursynów,ulica
ulica Edwarda Habicha,ulicy Edwarda Habicha,ul. E. Habicha,Ursus,ulica
ulica Haczowska,ulicy Haczowskiej,ul. Haczowska,Wawer,ulica
ulica Hafciarska,ulicy Hafciarskiej,ul. Hafciarska,Wawer,ulica
ulica Hajduczka,ulicy Hajduczka,ul. Hajduczka,Białołęka,ulica
ulica Hajnowska,ulicy Hajnowskiej,ul. Hajnowska,Wawer,ulica
ulica Hajoty,ulicy Hajoty,ul. Hajoty,Bielany,ulica
ulica Halki,ulicy Halki,ul. Halki,Wawer,ulica
Plac gen. Józefa Hallera,Placu gen. Józefa Hallera,pl. gen. J. Hallera,Praga-Północ,Plac
ulica Halna,ulicy Halnej,ul. Halna,Wawer,ulica
ulica Handlowa,ulicy Handlowej,ul. Handlowa,Targówek,ulica
ulica Stefana Kazimierza Hankiewicza,ulicy Stefana Kazimierza Hankiewicza,ul. S. K. Hankiewicza,Ochota,ulica
ulica Władysława Hańczy,ulicy Władysława Hańczy,ul. W. Hańczy,Mokotów,ulica
ulica Harcerska,ulicy Harcerskiej,ul. Harcerska,Żoliborz,ulica
Aleja Harcerzy Rzeczypospolitej,Alei Harcerzy Rzeczypospolitej,al. Harcerzy Rzeczypospolitej,Mokotów,Aleja
ulica Harendy,ulicy Harendy,ul. Harendy,Ursynów,ulica
ulica Harfowa,ulicy Harfowej,ul. Harfowa,Ochota,ulica
ulica Harmonistów,ulicy Harmonistów,ul. Harmonistów,Wawer,ulica
ulica Harnasie,ulicy Harnasie,ul. Harnasie,Praga-Północ,ulica
Aleja George'a Harrisona,Alei George'a Harrisona,al. G. Harrisona,Śródmieście,Aleja parkowa
ulica Władysława Hassa,ulicy Władysława Hassa,ul. W. Hassa,Ursus,ulica
ulica Haubicy,ulicy Haubicy,ul. Haubicy,Rembertów,ulica
ulica Józefa Hauke-Bosaka,ulicy Józefa Hauke-Bosaka,ul. J. Hauke-Bosaka,Żoliborz,ulica
ulica Hawajska,ulicy Hawajskiej,ul. Hawajska,Ursynów,ulica
ulica Hebanowa,ulicy Hebanowej,ul. Hebanowa,Targówek,ulica
ulica Hebanowa,ulicy Hebanowej,ul. Hebanowa,Wesoła,ulica
ulica Hefajstosa,ulicy Hefajstosa,ul. Hefajstosa,Bielany,ulica
ulica Hejnałowa,ulicy Hejnałowej,ul. Hejnałowa,Włochy,ulica
ulica Hektarowa,ulicy Hektarowej,ul. Hektarowa,Wilanów,ulica
ulica Heliotropów,ulicy Heliotropów,ul. Heliotropów,Wawer,ulica
ulica Heloizy,ulicy Heloizy,ul. Heloizy,Targówek,ulica
ulica Mariana Hemara,ulicy Mariana Hemara,ul. M. Hemara,Białołęka,ulica
ulica Stanisława Hempla,ulicy Stanisława Hempla,ul. S. Hempla,Mokotów,ulica
Plac Dionizego Henkla,Placu Dionizego Henkla,pl. D. Henkla,Żoliborz,Plac
ulica Tadeusza Hennela,ulicy Tadeusza Hennela,ul. T. Hennela,Ursus,ulica
ulica Henryka I Brodatego,ulicy Henryka I Brodatego,ul. Henryka Brodatego,Ursus,ulica
ulica Henryka II Pobożnego,ulicy Henryka II Pobożnego,ul. Henryka Pobożnego,Ursus,ulica
ulica Henryka IV Probusa,ulicy Henryka IV Probusa,ul. Henryka Probusa,Ursus,ulica
ulica Henrykowska,ulicy Henrykowskiej,ul. Henrykowska,Białołęka,ulica
ulica Herbaciana,ulicy Herbacianej,ul. Herbaciana,Wawer,ulica
ulica Herbowa,ulicy Herbowej,ul. Herbowa,Bielany,ulica
ulica Stanisława Herbsta,ulicy Stanisława Herbsta,ul. S. Herbsta,Ursynów,ulica
ulica Herbu Janina,ulicy Herbu Janina,ul. Herbu Janina,Wilanów,ulica
ulica Herbu Korczak,ulicy Herbu Korczak,ul. Herbu Korczak,Wilanów,ulica
ulica Herbu Leliwa,ulicy Herbu Leliwa,ul. Herbu Leliwa,Wilanów,ulica
ulica Herbu Oksza,ulicy Herbu Oksza,ul. Herbu Oksza,Ursus,ulica
ulica Herbu Pogoń,ulicy Herbu Pogoń,ul. Herbu Pogoń,Wilanów,ulica
ulica Herbu Szreniawa,ulicy Herbu Szreniawa,ul. Herbu Szreniawa,Wilanów,ulica
Aleja Gustawa Herlinga-Grudzińskiego,Alei Gustawa Herlinga-Grudzińskiego,al. G. Herlinga-Grudzińskiego,Śródmieście,Aleja parkowa
ulica Hermanowska,ulicy Hermanowskiej,ul. Hermanowska,Wawer,ulica
ulica Heroldów,ulicy Heroldów,ul. Heroldów,Bielany,ulica
ulica Benedykta Hertza,ulicy Benedykta Hertza,ul. B. Hertza,Wawer,ulica
ulica Hery,ulicy Hery,ul. Hery,Bemowo,ulica
ulica Hetmańska,ulicy Hetmańskiej,ul. Hetmańska,Praga-Południe,ulica
ulica Hiacyntowa,ulicy Hiacyntowej,ul. Hiacyntowa,Wawer,ulica
ulica Hiacyntowa,ulicy Hiacyntowej,ul. Hiacyntowa,Wesoła,ulica
ulica Hieroglif,ulicy Hieroglif,ul. Hieroglif,Bielany,ulica
ulica św. Hieronima,ulicy św. Hieronima,ul. św. Hieronima,Targówek,ulica
ulica Himalajska,ulicy Himalajskiej,ul. Himalajska,Bemowo,ulica
Rondo Jana Himilsbacha,Ronda Jana Himilsbacha,Rondo J. Himilsbacha,Wola,Rondo
ulica Hipolitowo,ulicy Hipolitowo,ul. Hipolitowo,Włochy,ulica
ulica Hipoteczna,ulicy Hipotecznej,ul. Hipoteczna,Śródmieście,ulica
ulica Hipoteczna,ulicy Hipotecznej,ul. Hipoteczna,Wesoła,ulica
ulica Hipotezy,ulicy Hipotezy,ul. Hipotezy,Włochy,ulica
ulica Ludwika Hirszfelda,ulicy Ludwika Hirszfelda,ul. L. Hirszfelda,Ursynów,ulica
ulica Historyczna,ulicy Historycznej,ul. Historyczna,Wilanów,ulica
ulica Prymasa Augusta Hlonda,ulicy Prymasa Augusta Hlonda,ul. Prymasa A. Hlonda,Wilanów,ulica
ulica Marka Hłaski,ulicy Marka Hłaski,ul. M. Hłaski,Bielany,ulica
ulica Hodowlana,ulicy Hodowlanej,ul. Hodowlana,Targówek,ulica
ulica Józefa Hoene-Wrońskiego,ulicy Józefa Hoene-Wrońskiego,ul. J. Hoene-Wrońskiego,Śródmieście,ulica
ulica Klementyny Hoffmanowej,ulicy Klementyny Hoffmanowej,ul. K. Hoffmanowej,Ochota,ulica
ulica Holenderska,ulicy Holenderskiej,ul. Holenderska,Praga-Południe,ulica
ulica Tadeusza Hołówki,ulicy Tadeusza Hołówki,ul. T. Hołówki,Mokotów,ulica
ulica Hołubcowa,ulicy Hołubcowej,ul. Hołubcowa,Ursynów,ulica
ulica Homera,ulicy Homera,ul. Homera,Wawer,ulica
Aleja Tomasza Hopfera,Alei Tomasza Hopfera,al. T. Hopfera,Śródmieście,Aleja parkowa
ulica Horacego,ulicy Horacego,ul. Horacego,Bielany,ulica
ulica Eugeniusza Horbaczewskiego,ulicy Eugeniusza Horbaczewskiego,ul. E. Horbaczewskiego,Praga-Południe,ulica
ulica Horodelska,ulicy Horodelskiej,ul. Horodelska,Targówek,ulica
ulica Hortensji,ulicy Hortensji,ul. Hortensji,Wawer,ulica
ulica Hoserów,ulicy Hoserów,ul. Hoserów,Wilanów,ulica
ulica Stanisława Hozjusza,ulicy Stanisława Hozjusza,ul. S. Hozjusza,Żoliborz,ulica
ulica Hoża,ulicy Hożej,ul. Hoża,Śródmieście,ulica
ulica Hrubieszowska,ulicy Hrubieszowskiej,ul. Hrubieszowska,Wola,ulica
ulica Hubalczyków,ulicy Hubalczyków,ul. Hubalczyków,Wola,ulica
ulica Maksymiliana Tytusa Hubera,ulicy Maksymiliana Tytusa Hubera,ul. M. T. Hubera,Ochota,ulica
ulica Hucisko,ulicy Hucisko,ul. Hucisko,Bemowo,ulica
ulica Huculska,ulicy Huculskiej,ul. Huculska,Mokotów,ulica
ulica Huczna,ulicy Hucznej,ul. Huczna,Białołęka,ulica
ulica Hufcowa,ulicy Hufcowej,ul. Hufcowa,Wawer,ulica
ulica Humanistów,ulicy Humanistów,ul. Humanistów,Bielany,ulica
ulica Humańska,ulicy Humańskiej,ul. Humańska,Mokotów,ulica
ulica Jana Husa,ulicy Jana Husa,ul. J. Husa,Białołęka,ulica
ulica Husarii,ulicy Husarii,ul. Husarii,Wilanów,ulica
ulica Husarska,ulicy Husarskiej,ul. Husarska,Włochy,ulica
ulica Husarska,ulicy Husarskiej,ul. Husarska,Wesoła,ulica
ulica Hutnicza,ulicy Hutniczej,ul. Hutnicza,Targówek,ulica
Rondo Hutników Warszawskich,Ronda Hutników Warszawskich,Rondo Hutników Warszawskich,Bielany,Rondo
ulica Franciszka Hynka,ulicy Franciszka Hynka,ul. F. Hynka,Włochy,ulica
ulica Iberyjska,ulicy Iberyjskiej,ul. Iberyjska,Mokotów,ulica
ulica Ibisa,ulicy Ibisa,ul. Ibisa,Ursynów,ulica
ulica Ludwika Idzikowskiego,ulicy Ludwika Idzikowskiego,ul. L. Idzikowskiego,Mokotów,ulica
ulica Ludwika Idzikowskiego,ulicy Ludwika Idzikowskiego,ul. L. Idzikowskiego,Wesoła,ulica
ulica Adama Idźkowskiego,ulicy Adama Idźkowskiego,ul. A. Idźkowskiego,Śródmieście,ulica
ulica Igańska,ulicy Igańskiej,ul. Igańska,Praga-Południe,ulica
ulica Iglasta,ulicy Iglastej,ul. Iglasta,Wawer,ulica
ulica Igrzyskowa,ulicy Igrzyskowej,ul. Igrzyskowa,Białołęka,ulica
ulica Ikara,ulicy Ikara,ul. Ikara,Mokotów,ulica
ulica Franciszka Ilskiego,ulicy Franciszka Ilskiego,ul. F. Ilskiego,Rembertów,ulica
ulica Iłżecka,ulicy Iłżeckiej,ul. Iłżecka,Włochy,ulica
ulica Imbirowa,ulicy Imbirowej,ul. Imbirowa,Ursynów,ulica
ulica Imielińska,ulicy Imielińskiej,ul. Imielińska,Mokotów,ulica
ulica Improwizacji,ulicy Improwizacji,ul. Improwizacji,Bielany,ulica
ulica ks. Romana Indrzejczyka,ulicy ks. Romana Indrzejczyka,ul. ks. R. Indrzejczyka,Żoliborz,ulica
ulica Indycza,ulicy Indyczej,ul. Indycza,Ursynów,ulica
ulica Indyjska,ulicy Indyjskiej,ul. Indyjska,Praga-Południe,ulica
ulica Inflancka,ulicy Inflanckiej,ul. Inflancka,Śródmieście,ulica
ulica Inna,ulicy Innej,ul. Inna,Białołęka,ulica
ulica Inowłodzka,ulicy Inowłodzkiej,ul. Inowłodzka,Białołęka,ulica
ulica Inowrocławska,ulicy Inowrocławskiej,ul. Inowrocławska,Mokotów,ulica
ulica Inspektowa,ulicy Inspektowej,ul. Inspektowa,Mokotów,ulica
ulica Instalatorów,ulicy Instalatorów,ul. Instalatorów,Włochy,ulica
ulica Instruktorska,ulicy Instruktorskiej,ul. Instruktorska,Rembertów,ulica
ulica Instytutowa,ulicy Instytutowej,ul. Instytutowa,Praga-Północ,ulica
ulica Insurekcji,ulicy Insurekcji,ul. Insurekcji,Białołęka,ulica
ulica Internetowa,ulicy Internetowej,ul. Internetowa,Białołęka,ulica
Plac Inwalidów,Placu Inwalidów,pl. Inwalidów,Żoliborz,Plac
ulica Inżynierska,ulicy Inżynierskiej,ul. Inżynierska,Praga-Północ,ulica
ulica Ireny,ulicy Ireny,ul. Ireny,Targówek,ulica
ulica Irgi,ulicy Irgi,ul. Irgi,Wesoła,ulica
ulica Irlandzka,ulicy Irlandzkiej,ul. Irlandzka,Praga-Południe,ulica
ulica Irminy,ulicy Irminy,ul. Irminy,Targówek,ulica
ulica Irydowa,ulicy Irydowej,ul. Irydowa,Wesoła,ulica
ulica Irysowa,ulicy Irysowej,ul. Irysowa,Mokotów,ulica
ulica Irysów,ulicy Irysów,ul. Irysów,Wesoła,ulica
ulica Karola Irzykowskiego,ulicy Karola Irzykowskiego,ul. K. Irzykowskiego,Bemowo,ulica
ulica Iskry,ulicy Iskry,ul. Iskry,Bemowo,ulica
ulica ks. Józefa Iwaniuka,ulicy ks. Józefa Iwaniuka,ul. ks. J. Iwaniuka,Wesoła,ulica
ulica Jerzego Iwanowa-Szajnowicza,ulicy Jerzego Iwanowa-Szajnowicza,ul. J. Iwanowa-Szajnowicza,Ursynów,ulica
ulica Iwicka,ulicy Iwickiej,ul. Iwicka,Mokotów,ulica
ulica Iwonicka,ulicy Iwonickiej,ul. Iwonicka,Mokotów,ulica
ulica Izabelli,ulicy Izabelli,ul. Izabelli,Żoliborz,ulica
ulica Izbicka,ulicy Izbickiej,ul. Izbicka,Wawer,ulica
ulica Izdebnicka,ulicy Izdebnickiej,ul. Izdebnicka,Rembertów,ulica
ulica Izerska,ulicy Izerskiej,ul. Izerska,Wawer,ulica
ulica Izoldy,ulicy Izoldy,ul. Izoldy,Targówek,ulica
ulica Jabłeczna,ulicy Jabłecznej,ul. Jabłeczna,Wawer,ulica
ulica Jabłoni,ulicy Jabłoni,ul. Jabłoni,Białołęka,ulica
ulica Stanisława Jana Jabłonowskiego,ulicy Stanisława Jana Jabłonowskiego,ul. S. J. Jabłonowskiego,Wilanów,ulica
ulica Stanisława Jachowicza,ulicy Stanisława Jachowicza,ul. S. Jachowicza,Wawer,ulica
ulica Jachtowa,ulicy Jachtowej,ul. Jachtowa,Wawer,ulica
ulica Jacka i Agatki,ulicy Jacka i Agatki,ul. Jacka i Agatki,Ursus,ulica
ulica Jadowska,ulicy Jadowskiej,ul. Jadowska,Praga-Północ,ulica
ulica Jadźwingów,ulicy Jadźwingów,ul. Jadźwingów,Mokotów,ulica
ulica Jagiellońska,ulicy Jagiellońskiej,ul. Jagiellońska,Praga-Północ,ulica
ulica Jagiellońska,ulicy Jagiellońskiej,ul. Jagiellońska,Wesoła,ulica
ulica Jagielska,ulicy Jagielskiej,ul. Jagielska,Ursynów,ulica
ulica Jagienki,ulicy Jagienki,ul. Jagienki,Wawer,ulica
ulica Stanisława Jagmina,ulicy Stanisława Jagmina,ul. S. Jagmina,Białołęka,ulica
ulica Jagny,ulicy Jagny,ul. Jagny,Włochy,ulica
ulica Jagodna,ulicy Jagodnej,ul. Jagodna,Rembertów,ulica
ulica Jagodowa,ulicy Jagodowej,ul. Jagodowa,Wesoła,ulica
ulica Jagody,ulicy Jagody,ul. Jagody,Wawer,ulica
ulica Albina Jakiela,ulicy Albina Jakiela,ul. A. Jakiela,Żoliborz,ulica
ulica Jakobinów,ulicy Jakobinów,ul. Jakobinów,Włochy,ulica
ulica Jaktorowska,ulicy Jaktorowskiej,ul. Jaktorowska,Wola,ulica
ulica Jakubowska,ulicy Jakubowskiej,ul. Jakubowska,Praga-Południe,ulica
ulica Jałowcowa,ulicy Jałowcowej,ul. Jałowcowa,Wawer,ulica
ulica Jałtańska,ulicy Jałtańskiej,ul. Jałtańska,Mokotów,ulica
ulica Jamińska,ulicy Jamińskiej,ul. Jamińska,Włochy,ulica
ulica Jamki,ulicy Jamki,ul. Jamki,Bielany,ulica
ulica Jana Kazimierza,ulicy Jana Kazimierza,ul. Jana Kazimierza,Wola,ulica
ulica Jana Olbrachta,ulicy Jana Olbrachta,ul. Jana Olbrachta,"Bemowo, Wola",ulica
Aleja Jana Pawła II,Alei Jana Pawła II,al. Jana Pawła II,"Śródmieście, Wola, Żoliborz",Aleja
ulica Jana Pawła II,ulicy Jana Pawła II,ul. Jana Pawła II,Wesoła,ulica
ulica Janczarów,ulicy Janczarów,ul. Janczarów,Wilanów,ulica
ulica Franciszka Janika,ulicy Franciszka Janika,ul. F. Janika,Praga-Południe,ulica
ulica Janinówka,ulicy Janinówka,ul. Janinówka,Targówek,ulica
ulica Janiszowska,ulicy Janiszowskiej,ul. Janiszowska,Włochy,ulica
ulica Janka Muzykanta,ulicy Janka Muzykanta,ul. Janka Muzykanta,Włochy,ulica
ulica Jankowska,ulicy Jankowskiej,ul. Jankowska,Ochota,ulica
ulica Edmunda Jankowskiego,ulicy Edmunda Jankowskiego,ul. E. Jankowskiego,Wawer,ulica
ulica Janosika,ulicy Janosika,ul. Janosika,Wawer,ulica
ulica Janowiecka,ulicy Janowieckiej,ul. Janowiecka,Targówek,ulica
ulica Aleksandra Janowskiego,ulicy Aleksandra Janowskiego,ul. A. Janowskiego,Ursynów,ulica
ulica Jantar,ulicy Jantar,ul. Jantar,Włochy,ulica
ulica Jantarowy Szlak,ulicy Jantarowy Szlak,ul. Jantarowy Szlak,Praga-Południe,ulica
ulica Januszewska,ulicy Januszewskiej,ul. Januszewska,Wawer,ulica
ulica Japońska,ulicy Japońskiej,ul. Japońska,Mokotów,ulica
ulica Jara,ulicy Jarej,ul. Jara,Wilanów,ulica
ulica Stefana Jaracza,ulicy Stefana Jaracza,ul. S. Jaracza,Śródmieście,ulica
ulica Jarocińska,ulicy Jarocińskiej,ul. Jarocińska,Praga-Południe,ulica
ulica Jarosławska,ulicy Jarosławskiej,ul. Jarosławska,Targówek,ulica
ulica Jarząbków,ulicy Jarząbków,ul. Jarząbków,Ursynów,ulica
ulica Jarzębinowa,ulicy Jarzębinowej,ul. Jarzębinowa,Białołęka,ulica
ulica Jarzębinowa,ulicy Jarzębinowej,ul. Jarzębinowa,Wesoła,ulica
ulica Adama Jarzębskiego,ulicy Adama Jarzębskiego,ul. A. Jarzębskiego,Bielany,ulica
ulica Jasielska,ulicy Jasielskiej,ul. Jasielska,Ochota,ulica
Rondo Pawła Jasienicy,Ronda Pawła Jasienicy,Rondo P. Jasienicy,Mokotów,Rondo
ulica Jasiniec,ulicy Jasiniec,ul. Jasiniec,Białołęka,ulica
ulica Jakuba Jasińskiego,ulicy Jakuba Jasińskiego,ul. J. Jasińskiego,Praga-Północ,ulica
ulica Jaskółcza,ulicy Jaskółczej,ul. Jaskółcza,Ursynów,ulica
ulica Jaskrów,ulicy Jaskrów,ul. Jaskrów,Wawer,ulica
ulica Jasna,ulicy Jasnej,ul. Jasna,Śródmieście,ulica
ulica Jasna,ulicy Jasnej,ul. Jasna,Wesoła,ulica
ulica Jasnodworska,ulicy Jasnodworskiej,ul. Jasnodworska,Żoliborz,ulica
ulica Jasnoty,ulicy Jasnoty,ul. Jasnoty,Wawer,ulica
ulica Jasówka,ulicy Jasówka,ul. Jasówka,Rembertów,ulica
ulica Jaspisowa,ulicy Jaspisowej,ul. Jaspisowa,Wesoła,ulica
ulica Jastrzębia,ulicy Jastrzębiej,ul. Jastrzębia,Ursynów,ulica
